chapter_num,chapter_name,chapter_fa,path,name,level,last_year,last_value,first_year,first_value,n_points
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,GDP (Rs billion),GDP (Rs billion),0,2024-25,114039,2007-08,12647,18
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,GDP (US $ billion),GDP (US $ billion),0,2024-25,408.2,2007-08,202.2,18
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,GDP Growth Rate (%),GDP Growth Rate (%),0,2024-25,3.1,1980-81,6.4,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,GDP Growth Rate (%) > Agriculture Growth Rate (%),Agriculture Growth Rate (%),1,2024-25,1.5,1980-81,3.7,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,GDP Growth Rate (%) > Manufacturing Growth Rate (%),Manufacturing Growth Rate (%),1,2024-25,2,1980-81,10.6,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,GDP Growth Rate (%) > Commodity Producing Sector Growth Rate (%),Commodity Producing Sector Growth Rate (%),1,2024-25,3.1,1980-81,6.3,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,GDP Growth Rate (%) > Services Sector Growth Rate (%),Services Sector Growth Rate (%),1,2024-25,3.1,1980-81,6.6,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Total Investment Growth Rates (at current mp) %,Total Investment Growth Rates (at current mp) %,0,2024-25,18.3,1980-81,9.8,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,"Total Investment Growth Rates (at current mp) % > Fixed Investment Growth Rates (%, at current mp)","Fixed Investment Growth Rates (%, at current mp)",1,2024-25,19.8,1980-81,4.8,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,"Total Investment Growth Rates (at current mp) % > Public Investment Growth Rates (%, at current mp)","Public Investment Growth Rates (%, at current mp)",1,2024-25,44.3,1980-81,-1.2,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,"Total Investment Growth Rates (at current mp) % > Private Investment Growth Rates (including general govt., %, at current mp)","Private Investment Growth Rates (including general govt., %, at current mp)",1,2024-25,13.2,1980-81,13.1,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Total Investment Growth Rates (at current mp) % > National Savings (as % of Total Investment),National Savings (as % of Total Investment),1,2024-25,103.3,1980-81,80.6,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Total Investment Growth Rates (at current mp) % > Foreign Savings (as % of Total Investment),Foreign Savings (as % of Total Investment),1,2024-25,-3.1,1980-81,19.4,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,Total Investment Growth Rates (at current mp) % > Total Investment (as % of GDP current mp),Total Investment (as % of GDP current mp),1,2024-25,14.3,1980-81,18.8,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,"Total Investment Growth Rates (at current mp) % > Total Investment, Fixed (as % of GDP current mp)","Total Investment, Fixed (as % of GDP current mp)",1,2024-25,12.7,1980-81,17.2,45
1,Economic and Social Indicators,شاخص‌های اقتصادی و اجتماعی,"Total Investment Growth Rates (at current mp) % > Total Investment, Public (as % of GDP current mp)","Total Investment, Public (as % of GDP current mp)",1,2024-25,3.3,1980-81,9.4,45
