Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
Agriculture at Basic Prices (Rs Million),,,5018356,5013941,5077194,5258170,5420793,5789117,5898414,6103888,6153614,6363627,6383525,6556680,6768528,6981192,7150034,7277452,7306957,7468900,7758432,7831296,8137860,8424041,8778647,8975069,9549585,9695601.09,9975844
,Crops at Basic Prices (Rs Million),,2293488,2139846,2072269,2101191,2118617,2392432,2384982,2520257,2461865,2559066,2425068,2475466,2506343,2576184,2623259,2597395,2497153,2531438,2648128,2532070,2692121,2849148,3083439,3047425,3378267,3344297.4,3392543
,,Important Crops at Basic Prices (Rs Million),1162155,1044428,1002895,1058286,1062471,1276891,1236014,1344199,1278590,1370856,1307739,1356855,1455250,1476419,1573025,1542822,1462455,1501621,1565723,1431198,1506263,1593985,1681708,1689304,1977855,1717019.4,1728137
,,Other Crops at Basic Prices (Rs Million),1001746,969277,944773,921308,935125,960653,1002746,1030573,1047324,1051028,972151,984172,897775,951681,904038,898386,912388,901099,943042,977166,1067179,1152009,1289069,1271187,1272421,1523592,1560645
,,Cotton Ginning at Basic Prices (Rs Million),129587,126142,124602,121596,121021,154888,146221,145485,135950,137182,145177,134438,153318,148083,146196,156186,122310,128718,139363,123706,118679,103154,112662,86934,127991,103686,103761
,Livestock at Basic Prices (Rs Million),,2413171,2548791,2680497,2799541,2932166,3068938,3209572,3299845,3429032,3542890,3686173,3833038,4006298,4138768,4257307,4426704,4531885,4662846,4830324,5006731,5146701,5269009,5387611,5587106,5831983,6004012,6229439
,Forestry at Basic Prices (Rs Million),,212614,229154,240137,270243,281092,238325,195784,175604,145686,141449,150392,146902,150841,160514,162765,140811,161737,157022,160541,172129,177917,183877,185162,217372,214976,221160,225632
,Fishing at Basic Prices (Rs Million),,99083,96151,84290,87196,88918,89423,108076,108182,117032,120221,121892,101275,105046,105726,106703,112542,116182,117594,119439,120366,121121,122007,122435,123166,124359,126131.69,128230
Industrial Sector at Basic Prices (Rs Million),,,2644188,2820244,2872556,3059074,3584870,3908310,4036565,4329874,4709886,4514626,4693059,4921837,5036634,5094824,5315788,5602641,5939635,6213295,6783864,6800675,6409967,6935438,7421583,7133708,7064866,7457780,7719583.771
,Mining & Quarrying at Basic Prices (Rs Million),,387010,410560,437975,481276,581836,521257,546871,576681,598023,591833,606178,581713,612310,623161,629518,654371,691258,685104,734818,738791,685844,697669,651208,630143,614814,591904,594170
,Manufacturing at Basic Prices (Rs Million),,1405602,1555623,1622116,1742267,2026951,2345750,2590683,2799584,2971396,2854407,2903663,2979531,3039516,3202692,3387283,3526714,3668778,3847353,4119706,4305977,3970246,4388024,4864350,4608423,4748113,4841123,5161262
,,Large Scale at Basic Prices (Rs Million),1117699,1249417,1296092,1395023,1658121,1955447,2167420,2353826,2495528,2344423,2356726,2393527,2413882,2529947,2667136,2755732,2841709,2957914,3162576,3274235,2906578,3240794,3626559,3269760,3300543.756,3277708.962,3478051.293
,,Small Scale at Basic Prices (Rs Million),142702,153442,165243,177630,190466,203592,224339,239309,259131,281418,306028,332119,358818,390062,422385,457082,494949,538401,585867,638626,647374,705485,768249,838794,914696.6673,996220.7455,1080886.682
,,Slaughtering at Basic Prices (Rs Million),145200,152764,160781,169614,178364,186711,198924,206449,216738,228566,240908,253885,266815,282683,297762,313900,332121,351038,371263,393116,416293,441745,469542,499869,532872.577,567193.2925,602324.0241
,"Electricity, Gas and Water Supply at Basic Prices (Rs Million)",,478551,459446,419778,427574,566769,546560,343289,328487,431750,407181,473964,707874,717928,566095,573706,635858,681030,690618,745548,786907,814703,888101,926804,1016276,833003,1079575,964834
,Construction at Basic Prices (Rs Million),,373025,394615,392687,407957,409314,494743,555722,625122,708717,661205,709254,652719,666881,702876,725281,785698,898569,990220,1183792,969000,939174,961644,979221,878866,868936,945178,999317.7713
,Commodity Producing Sector at Basic Prices (Rs Million),,7662545,7834185,7949750,8317244,9005664,9697427,9934979,10433762,10863500,10878253,11076584,11478517,11805163,12076016,12465823,12880093,13246592,13682195,14542296,14631971,14547827,15359479,16200230,16108777,16614451,17153381.09,17695427.77
Services Sector at Basic Prices (Rs Million),,,8144532,8547929,8862107,9363312,10034672,10865657,11792774,12404422,12989820,13228662,13576232,13964279,14450866,15192533,15772481,16434536,17261613,18232012,19317324,20284070,20038838,21223003,22643030,22651994,23162560.25,23889065.64,24866359
,Wholesale & Retail Trade at Basic Prices (Rs Million),,2786055,2921618,2973256,3139553,3455773,3907321,4235836,4452654,4652221,4517382,4569429,4638732,4684892,4839817,5054010,5172213,5380330,5727275,6114661,6331734,5998707,6647199,7325882,7034557,7269866,7304749,7576098
,Transport & Storage at Basic Prices (Rs Million),,1762192,1869522,1900432,2000902,2090111,2195466,2306455,2489833,2539137,2714827,2791665,2865093,2907974,3059426,3192743,3354065,3448607,3589252,3707938,3990773,3634152,3811190,3980936,4132065,4200059,4306820,4406453
,"Accommodation and Food Services Activities, Hotels & Restaurants at Basic Prices (Rs Million)",,148301,163157,179521,197484,217166,238769,262945,275533,289209,303642,318787,334725,350967,368513,386660,405596,425666,442789,460952,479936,499522,520024,541222,563348,586418.252,610324.4915,634375
,Information and Communication at Basic Prices (Rs Million),,101150,102656,105235,112675,139920,177498,240240,298902,391101,455063,448252,440763,513329,538781,528909,570758,610952,675174,703443,763216,868338,953818,1125119,1118252,1166700,1248721.15,1342621
,Finance and Insurance Activities at Basic Prices (Rs Million),,228780,253572,266571,283228,317471,381984,439568,474188,523940,495489,461583,434421,431637,461759,478651,504669,530185,573828,624079,662149,647435,682988,730220,658921,572347,624443,626432
,Real Estate Activities (OD) at Basic Prices (Rs Million),,950329,985934,1020427,1052954,1089219,1125967,1167041,1211486,1258790,1309316,1361721,1417681,1468632,1533340,1593526,1657449,1735453,1798794,1863846,1932853,2006873,2080095,2156942,2237142,2320700,2407856,2495256
,Public Administration and Social Security (General Government) at Basic Prices (Rs Million),,774211,786888,838038,889991,941657,990795,1085283,1065491,1070320,959590,1039458,1117537,1254957,1380049,1261099,1359824,1458465,1547990,1717130,1776775,1830153,1820093,1853122,1722958,1602278,1740090,1888728
,Education at Basic Prices (Rs Million),,354347,364275,394859,435231,476684,491457,581970,588593,632653,691679,687672,717633,710974,754703,874643,859989,954556,939569,972853,991899,1024760,1012428,1071646,1133051,1247057,1291819,1359431
