Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25
Total Revenues (Rs.Million),,,19264,21910,26482,30704,38502,47002,51930,59181,72290,77403,89523,103873,117021,139108,158805,163857,231503,241128,272734,322932,380260,384330,429454,468601,512500,553000,624100,720800,794000,900014,1076600,1297957,1499380,1850901,2078165,2252855,2566514,2982436,3637297,3931042,4446979,4936723,5228014,4900724,6272168,6903370,8035383,9633505,13269037,17997486
,Federal Revenues (Rs.Million),,,,,,,,39305,55857,68445,61161,84663,98037,110949,133286,152186,156730,215575,226213,255150,304454,359766,360080,400342,429691,477600,514000,584000,673600,741000,842900,992200,1215730,1380599,1721028,1955457,2125975,2411297,2760436,3397954,3649604,4070392,4535452,4679945,4412625,5756162,6244698,7294720,8818070,12271725,16705273
,Provincial Revenues (Rs.Million),,,,,,,,12625,3324,3845,16242,4860,58037,6072,5822,6619,7127,15928,14915,17584,18478,20494,24250,29112,38910,34900,39000,40100,47200,53000,57114,84400,82227,118781,129873,122708,126880,155217,222000,239343,281438,376587,401271,548069,488099,516006,658672,740663,815435,997312,1292212
Tax Revenues (Rs.Million),,,15544,17750,21585,25093,32507,38846,43003,49029,53646,55963,62474,82927,93456,110338,119435,129640,164307,178391,208410,257892,305580,324641,354754,390726,405600,441600,478100,555800,611000,659410,803700,889685,1050696,1204670,1472821,1699334,2052886,2199232,2564509,3017596,3395321,3682818,4243520,4231272,4411538,5272699,6755168,7818699,10085201,12722909
,Federal Tax Revenues (Rs.Million),,,,,,,,40368,46475,50645,52666,59513,78949,88958,105517,114004,124311,156829,171477,199607,248059,293915,310681,338042,375078,386800,422500,459300,534000,583000,624700,766900,852866,1009902,1158586,1418007,1634775,1945697,2048509,2374540,2811773,3112048,3361046,3842148,3829469,3997921,4764302,6142802,7169140,9311007,11744288
,Provincial Tax Revenues (Rs.Million),,,,,,,,2635,2554,3001,3297,2961,3978,4498,4821,5431,5329,7478,6914,8803,9833,11665,13960,16712,15648,18800,19100,18800,21800,28000,34710,36800,36819,40794,46084,54814,64559,107189,150723,189969,205823,283273,321772,401372,401803,413617,508397,612366,649559,774194,978621
Non Tax Revenues (Rs.Million),,,3720,4151,4897,5611,5995,8156,8927,10152,18644,21440,27049,20946,23565,28770,39370,34217,52262,61137,62324,60040,62680,59689,74700,77875,106900,111400,146000,165000,183000,240604,272900,408272,448684,646231,605344,553521,513628,783204,1072788,913446,1051658,1253905,984494,669452,1860630,1630671,1280215,1814806,3183836,5274576
,Federal Non Tax Revenues (Rs.Million),,,,,,,,8169,9382,,20439,25150,19088,21991,27769,38182,32420,43812,53136,53543,51395,53850,49399,62400,54613,90800,91500,124700,139600,158000,218200,225300,362864,370697,562442,537450,491200,465600,711927,1023414,837831,958344,1174406,837797,583156,1758241,1480396,1151918,1648930,2960718,4960985
,Provincial Non Tax Revenues (Rs.Million),,,,,,,,758,770,,1001,1899,1858,1574,1001,1188,1797,8450,8001,8781,8645,8830,10290,12300,23262,16100,19900,21300,25400,25000,22404,47600,45408,77987,83789,67894,62321,48028,71277,49374,75615,93314,79499,146697,86296,102389,150275,128297,165876,223118,313591
Revenue Surplus of autonomous bodies,,,585,423,523,975,1464,2019,1909,2286,2565,2639,2942,1819,5789,5189,6780,7920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Total Expenditures(Rs.Million),,,32329,35171,40898,48994,54629,63639,71013,87121,100002,116819,134479,152402,180373,201176,221645,260969,321474,348653,364913,428284,518099,540919,634014,647778,709100,717900,826250,898100,956000,1116981,1401900,1675458,2276549,2531308,3007226,3447264,4327185,4816300,5026016,5387767,5796302,6800520,7488395,8345640,9648488,10306691,13295275,16154950,20475945,24494340
,Current Expenditures (Rs.Million),,18925,19213,25545,30500,35547,40318,46370,59686,71945,85270,97798,116242,133645,153066,165595,195676,230120,272457,293460,345941,423866,455411,529919,547279,626400,645700,700200,791700,775000,864500,1034700,1375345,1853147,2041569,2386042,2900784,3468487,3660434,4004582,4424747,4694294,5197854,5854267,7104030,8532020,9084010,11521375,14447833,18570942,21528585
,,Federal Current Expenditures (Rs.Million),,,,,,,36055,,55009,66086,74921,88577,104200,121001,129953,150670,175021,209417,224425,256457,316007,346009,407219,424443,477900,479000,524600,599800,557000,664200,789100,973130,1416015,1495872,1758826,2088124,2500717,2565222,2831249,3037584,3144276,3472150,3789767,4776150,6016192,6264821,8354104,1065028,13970052,15695671
