Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2023-24,2024-25,2025-26
National Savings Schemes (Net Investment),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Defence Savings Certificates (Rs. Million),,6770.5,5578.3,5489.8,11369.9,20654.8,20143.5,31405.3,32271.9,38349.8,41212.3,16580.3,22037.3,21990.5,3238.3,-8759.1,-7551,-6976.8,-4317.4,-27411.3,-32493.2,9748.1,7295.5,29892,12970.8,16183.3,8053,16620,10743.6,57171,92783.1,-9132.6,-10440,,,
,National Deposit Scheme (Rs. Million),,-1015.6,-778.2,-689.3,-709.3,-949,-1266.8,-932.3,-115.8,-52.4,-17.2,-21.5,-6.3,-5.7,-6.8,-1.3,-2.5,-1.1,0.1,-2.7,-0.1,-1,-0.9,-0.6,-0.3,-1,-0.3,-0.7,0.1,0,,0,-0.4,,,
,Khaas Deposit Scheme (Rs. Million),,-30203.7,-28929.6,-22702.5,-841.4,-428,-360.9,-219.8,-48,-20.5,-52.9,-51.1,-12.1,13.5,-23.4,-5.4,-2.8,-5.6,7,-1.6,-3.8,-2.6,-0.6,-1.2,-0.8,-4.3,-2,-51.4,-0.2,0,-0.1,-0.2,0,,,
,Special Savings Certificates (R) (Rs. Million),,18326.4,18134.7,15439.2,5650.6,7422.9,12344.6,14902.5,20194.7,24956.7,19395.8,9431.1,36443.2,84899.1,-13199.3,-83311.9,-57737.1,6667.5,13800.6,128469,61856.6,43960.6,-52834.2,46401.5,57619.6,28547.1,-1932.8,-39344.6,-51180.1,31842.5,13945.7,-6327.9,-44748,,,
,Special Savings Certificates (B) (Rs. Million),,1375.6,1025.5,835.9,582.2,1063.9,-727.8,-1266.5,-1670.7,-883,-507.3,196.3,-203.3,11.1,-2.6,-4.6,-0.6,-0.1,-0.2,-8.5,-0.3,-0.7,-0.9,-0.3,-0.8,,,-0.8,-0.6,,0,-0.5,,,,
,Regular Income Certificates (Rs. Million),,0,0,1120.4,4244,4023,4732,16472.1,54408.6,59099.4,26111.6,8643.2,11046.3,14923.9,-49090.5,-40663,-15563.9,18369.1,-273.5,40094.3,44538.3,46946.8,43971.6,36047,62783.3,50582.1,-16223,-20950.7,8726.3,142088.1,83232.3,26711.2,-10563.3,,,
,Bahbood Saving Certificates (Rs. Million),,,,,,,,,,,,,,,22691,60654.6,59636.6,47214.5,38799.7,78538,59267.2,61731.6,52254.5,47622.7,53963,45927.8,63761.1,57432.1,45395.3,119573.1,83380,2549.4,16628.9,,,
,Pensioners' Benefit Account (Rs. Million),,,,,,,,,,,,,,10170,13209.3,17737.2,16382.9,11468.6,18695.9,22215.7,18166.9,17940.3,16359.5,17538.9,18471.2,15701.9,20645.1,18716.7,21504.4,43367.4,33876,16347.2,22055.6,,,
,Savings Accounts (Rs. Million),,1659.3,907.7,-389.9,10577,-146.8,4672.6,-5588.9,-6699.7,2296.6,-196.7,-2105,-329.8,1638.1,-729.6,-2891.4,202.7,12825.7,8989.1,-10899.2,1021.3,-625.3,3978.5,1098.9,283.2,3859.4,3807.7,4684.4,3413,-166.2,4537,1083.5,10508.6,,,
