Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
"Number of Educational Institutions By Kind, Level & Sex",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Primary Schools (000), Total",,43.7,45.9,49.6,50.6,51.7,52.8,53.2,53.9,55.3,57.2,59.2,61.1,71.4,73.2,73.8,77.2,97.2,105.9,103.7,110.5,114.1,112.4,130.6,134.1,139.6,143.1,149.7,156.3,159.3,162.1,147.7,149.1,150.8,155,157.2,157.5,158.4,157.4,156.7,157.5,155.5,154.7,159.7,157.9,165.9,164.6,168.9,172.5,180.1,180.1,180.2,162.1,168.2,158.7,155,
,"Primary Schools (000), Female",,12.1,12.3,14.4,15.1,15.7,15.8,15.9,16.2,16.9,17.8,18.6,19.4,20.2,20.9,21.6,22.4,23.5,24.9,27.4,30,31.1,31.6,40.3,42.4,44.4,40.5,52.1,58.1,53.1,55,54.3,55.3,56.1,57.6,58.7,59.8,60.9,64.9,63.4,60.6,58.2,57,60.1,60.3,66,65.3,66.1,73.5,80.7,85.4,85.1,70.8,77.9,69.3,66.7,
,"Middle Schools (000), Total",,3.8,4.1,4.4,4.6,4.7,4.8,5,5.1,5.2,5.2,5.3,5.4,5.4,6,6.1,6.3,6.8,7,7.8,8.1,8.7,9,11.8,12.1,12.6,13.3,14.5,17.4,18.1,18.4,25.5,26.8,28,28.7,30.4,39.4,40.1,40.8,40.9,41.3,41.6,41.9,42.2,42.9,44.8,45.7,49.1,46.7,47.3,47,47.2,47.8,51,44.4,43.9,
,"Middle Schools (000), Female",,0.9,1,1.2,1.2,1.3,1.3,1.4,1.4,1.4,1.4,1.4,1.4,1.4,1.8,1.8,1.9,2.1,2.2,2.9,3.1,3.4,3.5,5.4,5.5,5.7,4.4,6.3,7.5,7.2,7.6,12,12.8,13.5,13.9,14.8,19.3,17.5,20.6,20.4,19.5,20.4,21,21.4,21.1,22.4,27,27.9,23.5,23.7,26.9,26.5,24.2,25.6,22.6,21.9,
,"High Schools (000), Total",,2.1,2.2,2.5,2.7,2.9,3,3.2,3.2,3.3,3.4,3.5,3.6,3.7,4.2,4.6,4.7,5.3,5.5,6.6,7.2,8.2,8.4,8.7,9.2,9.5,9.5,9.9,11.1,12.4,12.6,14.8,15.1,15.6,16.1,16.6,22.9,23.6,24,24.3,24.8,25.2,28.7,29.9,30.6,31.3,31.7,31.6,31.4,31.7,31.7,34.2,34.6,39.4,44.9,48.7,
,"High Schools (000), Female",,0.5,0.6,0.6,0.7,0.8,0.8,0.9,0.9,0.9,0.9,1,1,1.1,1.2,1.3,1.3,1.5,1.6,1.8,1.9,2.1,2.1,2.8,3,3.2,2.4,3.3,3.9,3.3,3.4,4.6,4.6,4.8,8.9,5.3,8.1,9,9,9.2,10.6,9.5,11.6,12.3,12.6,13.1,15.6,14.7,13.5,13.7,14.5,15.1,15.1,17.2,22.5,25.1,
,"Technical & Vocational Institutions (Numbers), Total",,206,284,391,314,301,282,231,222,223,219,231,247,263,279,290,293,501,560,999,929,725,608,602,474,487,577,578,574,580,612,630,607,585,636,747,3059,3090,3125,3159,3192,3224,3257,3290,3323,3579,3746,3798,3740,3740,3740,3740,4182,4406,4549,4746,
,"Technical & Vocational Institutions (Numbers), Female",,97,134,152,150,141,116,81,77,76,85,88,92,96,100,104,105,259,289,455,419,345,311,316,218,221,224,225,223,228,233,236,239,230,252,328,1475,1491,1507,1523,2182,2206,2229,2253,2276,1819,1514,1536,1330,1330,1330,1330,1629,1724,1811,1942,
,"Higher Sec/Inter Colleges (Numbers), Total",,314,339,334,354,361,404,433,430,429,430,433,440,447,469,467,481,502,548,556,575,612,633,800,824,863,909,1141,1056,1137,1222,1710,1784,1855,1989,1604,2996,3095,3213,3242,3329,3435,4515,5030,5179,5393,5470,5130,5754,5876,5898,7102,8113,9004,11258,13304,
