Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
Hospitals (Numbers),,,521,517,518,525,528,536,550,602,600,613,626,633,652,670,682,710,719,756,776,778,799,822,827,858,865,872,879,876,907,906,906,916,919,924,945,948,968,972,980,1092,1113,1143,1172,1243,1264,1279,1282,1289,1276,1696,1934,1934,
Dispensaries (Numbers),,,2566,2836,2908,3063,3220,3206,3367,3466,3478,3459,3351,3386,3415,3441,3498,3616,3659,3795,3993,4095,4206,4280,4253,4513,4523,4551,4583,4635,4625,4590,4554,4582,4632,4712,4755,4794,4813,4842,5039,5176,5413,5548,5695,5971,5654,5671,5743,5849,5832,5627,6239,6239,
BHUs Sub Health Centres (Numbers),,,255,290,373,536,544,554,645,736,774,1587,1982,2366,2647,2902,3150,3454,3818,4213,4414,4526,4663,4902,4986,5143,5121,5155,5185,5171,5230,5308,5290,5301,5334,5336,5349,5310,5345,5344,5449,5478,5471,5438,5478,5473,5505,5527,5472,5561,5559,5434,5746,5746,
Maternity & Child Health Centres (Numbers),,,662,690,696,715,726,748,772,812,823,817,794,787,778,773,798,998,1027,1050,1057,1055,849,853,859,853,853,852,855,856,879,862,907,906,907,906,903,908,906,909,851,628,687,670,733,755,727,747,752,752,781,822,905,905,
Rural Health Centres (Numbers),,,90,102,134,173,186,200,211,217,243,283,302,319,334,349,383,417,448,459,465,470,485,496,498,505,513,514,530,531,541,550,552,552,556,560,562,561,572,577,579,640,667,669,684,668,688,686,670,719,736,783,802,802,
TB Centres (Numbers),,,84,89,89,95,95,95,98,98,99,98,98,96,100,101,104,211,211,220,219,228,233,242,260,262,262,263,264,274,272,285,289,289,289,288,290,293,293,304,345,326,329,334,339,345,431,441,412,410,416,482,486,486,
Total Beds (Numbers),,,35655,35866,37776,39129,40518,42469,44367,47412,48441,50335,52161,53603,55886,57709,60093,64471,66375,72997,75805,76938,80047,84883,85805,88454,89929,90659,92174,93907,97945,98264,98684,99908,101490,102073,103285,103037,103708,104137,107537,111802,118378,118170,119548,124821,131049,132227,133707,147112,146053,167947,173971,173971,
Population per Bed (Numbers),,,1848,1893,1852,1843,1834,1804,1779,1716,1752,1735,1723,1724,1699,1689,1666,1593,1587,1480,1461,1476,1455,1406,1426,1417,1428,1450,1492,1495,1490,1517,1536,1540,1530,1508,1544,1575,1592,1701,1647,1616,1557,1591,1604,1565,1585,1608,1579,1463,1501,1353,1328,1328,
Registered Doctors (Numbers),,,5138,5582,6018,6478,7232,8041,9079,10777,13910,17174,20865,25633,30044,34034,38580,42862,47289,51883,55572,60042,63003,66196,69691,74229,78470,82682,87105,91823,96248,101635,108062,113206,117905,123146,128042,133925,139488,144901,152368,160880,167759,175223,184711,195896,208007,220829,233261,245987,266430,299113,319572,336582,
Registered Dentists (Numbers),,,549,610,650,706,733,781,846,928,1018,1121,1222,1349,1416,1558,1636,1772,1918,2077,2193,2279,2401,2589,2751,2938,3159,3444,3867,4175,4622,5068,5530,6127,6732,7438,8215,9012,9822,10508,11649,12692,13716,15106,16652,18333,20463,22595,24930,27360,30501,36032,39088,42118,
