Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1972-73,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
Population (Million),,,65.89,67.9,69.98,72.12,74.33,76.6,78.94,81.36,84.25,86.44,89.12,91.88,97.73,97.67,100.7,103.82,107.04,,112.61,115.54,118.5,121.48,124.49,127.51,130.56,132.35,136.41,139.55,142.76,146.02,149.32,152.66,156.04,159.46,162.91,166.41,169.94,173.51,177.1,180.71,184.35,188.02,191.71,198.78,207.68,211.82,216.08,220.4,224.78,229.22,241.5,246.97,252.09,
"Population, Male (Million)",,,,,,,,,,,44.23,,,,,,,,,,58.82,60.31,61.83,63.35,64.88,66.42,67.98,67.22,71.09,72.65,74.23,75.69,77.38,79.1,80.83,82.57,84.34,86.13,87.94,89.76,91.59,93.43,95.29,97.16,99.04,102.69,106.34,108.41,110.54,112.71,114.9,117.11,124.3,127.1,129.64,
"Population, Female (Million)",,,,,,,,,,,40.02,,,,,,,,,,53.79,55.23,56.67,58.13,59.61,61.09,62.58,61.95,65.6,67.11,68.63,70.33,71.93,73.57,75.21,76.88,78.57,80.28,82.01,83.75,85.51,87.28,89.06,90.86,92.67,96.1,101.34,103.41,105.53,107.69,109.88,112.1,117.15,119.87,122.45,
"Population, Rural (Million)",,,,,,,,,,,60.41,,,,,,,,,,77.95,79.6,81.45,93.19,94.95,86.69,88.44,86.22,91.91,93.63,95.36,97.76,99.74,101.34,102.12,103.66,105.2,106.73,108.08,109.41,110.73,112.02,113.28,115.52,116.52,115.85,131.94,134.37,136.87,139.39,141.96,144.53,147.61,,,
"Population, Urban (Million)",,,,,,,,,,,23.84,,,,,,,,,,34.66,35.79,37.05,28.29,29.54,40.82,42.12,42.95,44.78,46.13,47.5,48.26,49.57,51.33,53.92,55.8,57.72,59.68,61.87,64.09,66.37,68.69,71.07,72.5,75.19,82.93,75.74,77.45,79.2,81.01,82.83,84.69,93.88,,,
Crude Birth Rate (per 1000),,,,,,42.8,40.6,40.9,41.6,,,,,,,41.6,,,,,39.5,39.3,38.9,37.6,36.6,35.2,33.8,,30.5,,,27.03,27.3,27.8,,26.1,25.5,25,28.4,,27.5,27.2,26.8,26.4,26.1,27.8,27.3,26.7,26.1,25.4,,,,25.89,25.7,
Crude Death Rate (per 1000),,,,,,11.5,10.7,10.1,9.6,,,,,,,9.6,,,,,9.8,10.1,10.1,9.9,9.2,8.8,8.9,,8.6,,,8.2,8,8.7,,7.1,7.9,7.7,7.6,,7.3,7.2,7,6.9,6.8,7,7.8,6.8,6.7,6.6,,,,5.69,,
Infant Mortality Rate (per 1000),,,,,,87,100,95,95,,,,,,,95,,,,,102.4,100.9,101.8,100.4,94.6,85.5,84.4,,82.9,,,85,83,79.9,,76.7,72.4,70.2,73.5,,70.5,69,67.5,66.1,64.6,62.4,67.2,60.5,59.5,58.5,,,,5.69,47,
"Population, Growth rate (%)",,,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,3.1,,,,3.06,2.54,2.52,2.51,2.49,2.47,2.42,2.69,2.61,2.6,2.61,,1.9,,,,1.76,1.73,2.08,,2.03,2,1.97,1.95,1.92,2.08,2.4,1.99,1.94,1.8,,,2.55,2.11,2.07,
Population in Punjab (Thousands),,,,,,,,,,,47292,,,,,,,,,,,,,,,,,73621,,,,,82710,,85650,87633,89388,,,94745,96545,98355,100174,102005,103837,107959,109989,111995,114048,116130,118235,120359,127688,130706,133364,
