Sectors,Sub-Sectors-Level1,Sub-Sectors-Level2,1965-66,1966-67,1967-68,1968-69,1969-70,1970-71,1971-72,1972-73,1973-74,1974-75,1975-76,1976-77,1977-78,1978-79,1979-80,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16,2016-17,2017-18,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,2024-25,2025-26
Transport (Roads),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Expressway (in Kilometers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,460,428,428,428,428,428,
,Highway (in Kilometers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20089,32097,32097,32097,32097,32097,
,Local Road (in Kilometers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373423,373525,373525,373525,373525,373525,
,Metro Road (in Kilometers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,76,146,146,150,150,
,Motorway (in Kilometers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3210,2471,2816,2816,2816,2816,
,National Highway (in Kilometers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12122,,,,,,
,Primary Road (in Kilometers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4387,4388,4388,4388,4388,4388,
,Secondary Road (in Kilometers),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,87647,87765,87765,87765,87765,87765,
,Total (in Kilometers),,73788,70007,72463,71428,72153,73006,74187,76029,76660,78630,80623,84589,85757,87715,94173,93960,96859,99793,111916,118471,126243,133953,142941,151449,162345,170823,182709,189321,196817,207645,218344,229595,240885,247484,240340,249972,251661,252168,256070,258214,259021,259197,259038,260200,260040,259463,259463,,,,,,,,501424,500749,501165,501165,501169,501169,
,High Type (in Kilometers),,20983,22063,23095,23799,24253,24776,25418,28927,26641,28222,29603,31769,33159,34804,35890,38035,40380,42773,48325,52120,56318,61464,68880,74355,81981,86839,95374,99083,104002,111307,118427,126117,133462,137352,138200,144652,148877,153225,158543,162841,167530,172827,175000,177060,180190,180866,180866,,,,,,,,,,,,,,
,Low Type (in Kilometers),,52805,47944,49368,47629,47900,48230,48769,50102,50019,50408,51020,52820,52598,52911,58283,55925,56479,57020,63591,66351,69925,72489,74061,77094,80364,83984,87335,90238,92816,96338,99917,103478,107423,110132,110140,105320,102784,98943,97527,95373,91491,86370,84038,83140,79850,78597,78597,,,,,,,,,,,,,,
Railways,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Locomotives (Numbers),,1026,1045,1047,1045,1076,1141,1015,993,992,992,1024,978,978,979,1003,960,963,979,943,916,879,837,806,773,768,753,752,703,676,678,622,633,611,596,597,610,577,577,592,557,544,544,555,551,528,528,522,493,421,458,460,455,478,472,473,467,466,461,450,448,
,Freight Wagons (Numbers),,35048,36428,36970,37252,37530,37337,37624,37436,37339,37239,36938,36720,36406,36276,36235,36248,36213,35990,35782,35341,35237,34867,35929,36249,35842,34851,30369,29451,29228,30117,26755,25213,24275,27251,23906,23893,23460,23722,21812,21556,20809,19638,18638,17259,16499,18468,17611,16635,16179,15452,15164,16085,16159,14327,14448,14448,13900,13448,11803,10634,
,Route (KM),,8585.53,8585.53,8585.53,8663.51,8564.38,8566.36,8794.96,8811.21,8811.21,8811.45,8811.45,8815.03,8815.03,8815.03,8817.33,8817.33,8774.87,8774.87,8774.87,8774.87,8774.87,8774.87,8774.87,8774.87,8775,8775,8775,8775,8775,8775,8775,8775,8775,8774,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,7791,
