دسته,شاخص,کد World Bank,کد Data360,واحد,موضوع‌های Data360,وضعیت,اولین سال موجود,مقدار اولین سال,آخرین سال موجود,مقدار آخرین سال,تغییر کل,تغییر کل %,سال بیشترین مقدار,بیشترین مقدار,سال کمترین مقدار,کمترین مقدار,میانگین 2010-2019,میانگین 2020-2026,تغییر میانگین دوره‌ها %,تعداد سال دارای داده
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,"Prosperity > Growth and Jobs > Growth > Infrastructure > Urban, Resilience and Land > Housing",دارای داده,2010.0,196709621849.58618,2024.0,371570000121.2658,174860378271.67963,88.8926411568146,2022.0,374890295666.69366,2010.0,196709621849.58618,283728764054.58984,346417780332.071,22.094698958833682,15
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,Prosperity > Growth and Jobs > Growth,دارای داده,2010.0,1.501718,2024.0,3.048983,1.5472650000000001,103.0329928788228,2016.0,6.573838,2020.0,-1.274087,3.9566457999999995,2.5303905999999996,-36.047078057884285,15
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,Prosperity > Growth and Jobs > Growth,دارای داده,2010.0,987.304571,2024.0,1478.77278,491.468209,49.77878391692364,2018.0,1569.338146,2010.0,987.304571,1309.9603355000002,1422.2272693999998,8.570254446456076,15
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,Prosperity > Growth and Jobs > Growth,دارای داده,2010.0,-0.975475,2024.0,1.50504,2.480515,254.28791101770935,2016.0,5.195069,2020.0,-3.038893,2.1911788000000003,0.801253,-63.432787867425525,15
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,,دارای داده,2010.0,79.834246,2024.0,84.765185,4.930939000000009,6.176470934541061,2022.0,85.897745,2010.0,79.834246,81.6154134,83.76161259999999,2.6296493647362915,15
رشد اقتصادی,سرمایه‌گذاری کل (% GDP),NE.GDI.TOTL.ZS,WB_WDI_NE_GDI_TOTL_ZS,PT_GDP,,دارای داده,2010.0,15.961552,2024.0,13.166532,-2.795019999999999,-17.510953822034345,2018.0,17.068291,2024.0,13.166532,15.629960599999999,14.409090800000001,-7.811086868638667,15
درآمد و فقر,فقر زیر ۲.۱۵$/روز (%),SI.POV.DDAY,WB_WDI_SI_POV_DDAY,PT_POP,Prosperity > Poverty > Poverty,دارای داده,2010.0,26.7,2024.0,23.0,-3.6999999999999993,-13.85767790262172,2010.0,26.7,2018.0,16.5,21.439999999999998,23.0,7.276119402985086,6
درآمد و فقر,فقر زیر ۳.۶۵$/روز (%),SI.POV.LMIC,WB_WDI_SI_POV_LMIC,PT_POP,Prosperity > Poverty > Poverty,دارای داده,2010.0,57.2,2024.0,47.9,-9.300000000000004,-16.258741258741267,2010.0,57.2,2018.0,44.7,50.379999999999995,47.9,-4.92258832870186,6
درآمد و فقر,فقر زیر ۶.۸۵$/روز (%),SI.POV.UMIC,WB_WDI_SI_POV_UMIC,PT_POP,Prosperity > Poverty > Poverty,دارای داده,2010.0,92.7,2024.0,87.1,-5.6000000000000085,-6.040992448759448,2010.0,92.7,2024.0,87.1,90.05999999999999,87.1,-3.2866977570508484,6
درآمد و فقر,ضریب جینی (نابرابری درآمد),SI.POV.GINI,WB_WDI_SI_POV_GINI,0_TO_100,"Prosperity > Poverty > Inequality and Shared Prosperity > Infrastructure > Urban, Resilience and Land > Housing",دارای داده,2010.0,28.8,2024.0,33.5,4.699999999999999,16.319444444444443,2024.0,33.5,2010.0,28.8,29.78,33.5,12.491605104096704,6
درآمد و فقر,درآمد ملی سرانه (GNI),NY.GNP.PCAP.CD,WB_WDI_NY_GNP_PCAP_CD,USD,,دارای داده,2010.0,1000.0,2024.0,1430.0,430.0,43.0,2018.0,1560.0,2010.0,1000.0,1276.0,1436.0,12.539184952978054,15
درآمد و فقر,جمعیت کل,SP.POP.TOTL,WB_WDI_SP_POP_TOTL,PS,"Infrastructure > Urban, Resilience and Land > Housing",دارای داده,2010.0,199239047.0,2024.0,251269164.0,52030117.0,26.114417722546122,2024.0,251269164.0,2010.0,199239047.0,215442437.2,243390774.6,12.972531207514585,15
سلامت,امید به زندگی (سال),SP.DYN.LE00.IN,WB_WDI_SP_DYN_LE00_IN,YR,"People > Health, Nutrition & Population > Mortality",دارای داده,2010.0,64.378,2024.0,67.799,3.4210000000000065,5.313927117959562,2024.0,67.799,2010.0,64.378,65.54400000000001,66.86779999999999,2.019711949224913,15
سلامت,مرگ‌ومیر زیر ۵ سال (در ۱۰۰۰),SH.DYN.MORT,WB_WDI_SH_DYN_MORT,DT_10P3BR_L,"People > Health, Nutrition & Population > Mortality",دارای داده,2010.0,86.5,2024.0,56.0,-30.5,-35.26011560693642,2010.0,86.5,2024.0,56.0,76.05999999999999,59.78000000000001,-21.404154614777784,15
سلامت,"مرگ‌ومیر مادران (در ۱۰۰,۰۰۰)",SH.STA.MMRT,WB_WDI_SH_STA_MMRT,DT_10P5BR_L,People > Gender > SDGs,دارای داده,2010.0,240.0,2023.0,155.0,-85.0,-35.41666666666667,2010.0,240.0,2023.0,155.0,206.2,171.5,-16.828322017458774,14
سلامت,هزینه بهداشت (% GDP),SH.XPD.CHEX.GD.ZS,WB_WDI_SH_XPD_CHEX_GD_ZS,PT_GDP,"People > Health, Nutrition & Population",دارای داده,2010.0,2.429677,2023.0,2.519883,0.09020600000000023,3.7126745653846265,2021.0,2.990158,2012.0,2.221853,2.5315528,2.84157975,12.246513286232865,14
سلامت,پزشک به ازای ۱۰۰۰ نفر,SH.MED.PHYS.ZS,WB_WDI_SH_MED_PHYS_ZS,10P3PS,"People > Health, Nutrition & Population > Human Resources for Health",دارای داده,2010.0,0.727,2021.0,1.16,0.43299999999999994,59.55983493810179,2021.0,1.16,2010.0,0.727,0.8501,1.16,36.45453476061639,11
سلامت,سوءتغذیه (%),SN.ITK.DEFC.ZS,WB_WDI_SN_ITK_DEFC_ZS,PT_POP,"People > Health, Nutrition & Population > Nutrition",دارای داده,2010.0,15.5,2023.0,16.5,1.0,6.451612903225806,2022.0,16.7,2018.0,10.9,13.51,15.75,16.580310880829018,14
آموزش,نرخ سواد بزرگسالان (%),SE.ADT.LITR.ZS,WB_WDI_SE_ADT_LITR_ZS,PT,People > Education > Learning,دارای داده,2010.0,55.380001,2021.0,58.860001,3.479999999999997,6.283856874614352,2017.0,59.130001,2011.0,54.740002,56.698750000000004,58.860001,3.8118141934345866,9
آموزش,ثبت‌نام ابتدایی (ناخالص %),SE.PRM.ENRR,WB_WDI_SE_PRM_ENRR,PT,People > Gender > Children Ages 0-14 > Education > Schooling,دارای داده,2010.0,73.642737,2024.0,83.726068,10.083331000000001,13.692227381499958,2024.0,83.726068,2013.0,68.887572,73.3124175,81.09057675,10.609606824109983,14
آموزش,ثبت‌نام متوسطه (ناخالص %),SE.SEC.ENRR,WB_WDI_SE_SEC_ENRR,PT,People > Education > Schooling,دارای داده,2010.0,29.29629,2024.0,48.280502,18.984212,64.80073756779441,2024.0,48.280502,2010.0,29.29629,33.561427599999995,42.81182575,27.56258839835527,14
آموزش,ثبت‌نام دانشگاهی (ناخالص %),SE.TER.ENRR,WB_WDI_SE_TER_ENRR,PT,People > Education > Schooling,دارای داده,2010.0,7.033038,2024.0,10.856413,3.8233749999999995,54.363064723950004,2021.0,12.381001,2010.0,7.033038,8.4835578,11.188952,31.88985404213313,15
آموزش,هزینه آموزش (% GDP),SE.XPD.TOTL.GD.ZS,WB_WDI_SE_XPD_TOTL_GD_ZS,PT_GDP,People > Education > Expenditures and Finance,دارای داده,2010.0,2.05268,2023.0,1.94658,-0.10610000000000008,-5.168852427070955,2016.0,2.66805,2021.0,1.687461,2.2651229,1.916058,-15.410417686386909,14
زیرساخت,دسترسی به برق (%),EG.ELC.ACCS.ZS,WB_WDI_EG_ELC_ACCS_ZS,PT_POP,"Infrastructure > Energy & Extractives > Urban, Resilience and Land > Housing",دارای داده,2010.0,87.1,2023.0,95.6,8.5,9.758897818599312,2023.0,95.6,2010.0,87.1,90.57,95.0,4.8912443413934055,14
زیرساخت,دسترسی به آب سالم (%),SH.H2O.BASW.ZS,WB_WDI_SH_H2O_BASW_ZS,PT_POP,Planet > Water,دارای داده,2010.0,88.814735,2024.0,90.693299,1.8785639999999972,2.1151490234137356,2024.0,90.693299,2010.0,88.814735,89.5306627,90.58919619999999,1.1823139336597315,15
زیرساخت,دسترسی به بهداشت (%),SH.STA.BASS.ZS,WB_WDI_SH_STA_BASS_ZS,PT_POP,"People > Health, Nutrition & Population > Infectious Diseases",دارای داده,2010.0,49.206635,2024.0,71.88286,22.676224999999995,46.08367347208359,2024.0,71.88286,2010.0,49.206635,57.5884181,70.6545158,22.688759530277842,15
زیرساخت,کاربران اینترنت (%),IT.NET.USER.ZS,WB_WDI_IT_NET_USER_ZS,PT_POP,Digital > Digital Services > Connectivity,دارای داده,2010.0,8.0,2024.0,57.253,49.253,615.6625,2024.0,57.253,2010.0,8.0,11.267634900000001,38.094,238.08337187070197,12
زیرساخت,تلفن همراه (در ۱۰۰ نفر),IT.CEL.SETS.P2,WB_WDI_IT_CEL_SETS_P2,10P2PS,Digital > Digital Services,دارای داده,2010.0,49.782332,2024.0,76.854456,27.072124000000002,54.38098801799804,2022.0,79.105054,2010.0,49.782332,60.9160659,77.20674360000001,26.742826312426082,15
زیرساخت,جاده‌های آسفالت (%),IS.ROD.PAVE.ZS,WB_WDI_IS_ROD_PAVE_ZS,,,داده موجود نیست,,,,,,,,,,,,,,0
بازار کار,نرخ بیکاری (%),SL.UEM.TOTL.ZS,WB_WDI_SL_UEM_TOTL_ZS,PT_LF,Prosperity > Economic Policy > Growth and Jobs,دارای داده,2010.0,0.653,2025.0,5.42,4.7669999999999995,730.0153139356814,2021.0,6.338,2010.0,0.653,2.7865,5.628666666666667,101.99772713679047,16
بازار کار,مشارکت نیروی کار (%),SL.TLF.CACT.ZS,WB_WDI_SL_TLF_CACT_ZS,PT,Prosperity > Growth and Jobs > Jobs,دارای داده,2010.0,50.997,2025.0,52.335,1.338000000000001,2.623683746102714,2021.0,52.73,2011.0,50.775,51.297000000000004,52.28966666666667,1.9351359078828483,16
بازار کار,مشارکت زنان در بازار کار (%),SL.TLF.CACT.FE.ZS,WB_WDI_SL_TLF_CACT_FE_ZS,PT_W,People > Gender > Employment and Time Use > Prosperity > Growth and Jobs > Jobs,دارای داده,2010.0,22.036,2025.0,24.046,2.009999999999998,9.121437647485923,2021.0,24.365,2018.0,21.571,22.686400000000003,23.971666666666668,5.665361920210632,16
بازار کار,اشتغال کشاورزی (%),SL.AGR.EMPL.ZS,WB_WDI_SL_AGR_EMPL_ZS,PT,Planet > Agriculture and Food > Food and Nutrition Security > Prosperity > Growth and Jobs > Jobs,دارای داده,2010.0,42.672415,2025.0,36.229549,-6.442866000000002,-15.09843302751907,2011.0,42.818593,2025.0,36.229549,41.1425703,36.94810999999999,-10.1949398625686,16
بازار کار,اشتغال صنعتی (%),SL.IND.EMPL.ZS,WB_WDI_SL_IND_EMPL_ZS,PT,Planet > Water > Water and the Economy > Prosperity > Economic Policy > Growth and Jobs,دارای داده,2010.0,22.57494,2025.0,25.255486,2.6805459999999997,11.873989476826956,2021.0,25.428055,2010.0,22.57494,23.522720999999997,25.199828166666666,7.129732851342621,16
تجارت و مالیه,صادرات (% GDP),NE.EXP.GNFS.ZS,WB_WDI_NE_EXP_GNFS_ZS,PT_GDP,"Prosperity > Trade, Investment and Competitiveness > Trade Outcomes",دارای داده,2010.0,12.637225,2024.0,10.390453,-2.246772,-17.77899815821907,2011.0,13.482555,2017.0,8.221611,10.627177699999999,9.955032200000002,-6.32477896742046,15
تجارت و مالیه,واردات (% GDP),NE.IMP.GNFS.ZS,WB_WDI_NE_IMP_GNFS_ZS,PT_GDP,"Prosperity > Trade, Investment and Competitiveness > Trade Outcomes",دارای داده,2010.0,19.351777,2024.0,17.188016,-2.1637609999999974,-11.181200568815967,2022.0,22.490763,2016.0,15.964862,18.3152369,18.609811,1.608355390696595,15
تجارت و مالیه,سرمایه‌گذاری خارجی FDI (% GDP),BX.KLT.DINV.WD.GD.ZS,WB_WDI_BX_KLT_DINV_WD_GD_ZS,PT_GDP,"Prosperity > Trade, Investment and Competitiveness > Investment and Business Climate",دارای داده,2010.0,1.027911,2024.0,0.716689,-0.311222,-30.2771348881372,2010.0,1.027911,2012.0,0.343453,0.6455894,0.603137,-6.575758523916277,15
تجارت و مالیه,حساب جاری (% GDP),BN.CAB.XOKA.GD.ZS,WB_WDI_BN_CAB_XOKA_GD_ZS,PT_GDP,,دارای داده,2010.0,-0.688324,2024.0,0.133557,0.8218810000000001,119.4032170896264,2024.0,0.133557,2018.0,-5.295562,-2.1596436,-1.4349404000000001,33.556610914875016,15
تجارت و مالیه,بدهی دولتی (% GDP),GC.DOD.TOTL.GD.ZS,WB_WDI_GC_DOD_TOTL_GD_ZS,PT_GDP,Prosperity > Institutions,داده موجود نیست,,,,,,,,,,,,,,0
تجارت و مالیه,تورم (%),FP.CPI.TOTL.ZG,WB_WDI_FP_CPI_TOTL_ZG,PC_A,,دارای داده,2010.0,12.938871,2024.0,12.632532,-0.30633900000000125,-2.3675867855858614,2023.0,30.768128,2015.0,2.529328,7.5454764999999995,16.502210400000003,118.7033569052929,15
محیط زیست,انتشار CO2 سرانه (تن),EN.ATM.CO2E.PC,WB_WDI_EN_ATM_CO2E_PC,,,داده موجود نیست,,,,,,,,,,,,,,0
محیط زیست,پوشش جنگلی (% زمین),AG.LND.FRST.ZS,WB_WDI_AG_LND_FRST_ZS,PT_LAR,Planet > Environment,دارای داده,2010.0,5.310463,2023.0,4.672426,-0.6380370000000006,-12.014715101112664,2010.0,5.310463,2023.0,4.672426,5.1075355,4.7528665,-6.944033967066902,14
محیط زیست,برداشت آب شیرین (%),ER.H2O.FWTL.ZS,WB_WDI_ER_H2O_FWTL_ZS,PT,Planet > Water,دارای داده,2010.0,336.872727,2022.0,326.0,-10.872726999999998,-3.2275474173366363,2017.0,363.581818,2019.0,322.018182,345.0018183,335.1818183333333,-2.846361800368148,13
