دسته,شاخص,کد World Bank,کد Data360,واحد,سال,مقدار,سال مقایسه قبلی,تغییر نسبت به مقدار قبلی,تغییر نسبت به مقدار قبلی %
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2010,196709621849.58618,,,
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2011,230586581059.6654,2010.0,33876959210.079224,17.221810957464605
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2012,250106966104.70358,2011.0,19520385045.038177,8.465533837802635
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2013,258657231672.41232,2012.0,8550265567.70874,3.418643511164458
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2014,271390474857.63217,2013.0,12733243185.219849,4.922825123770913
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2015,299963590534.7735,2014.0,28573115677.141327,10.52841507872758
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2016,313630000130.43536,2015.0,13666409595.661865,4.556022806400424
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2017,339205534861.1001,2016.0,25575534730.664734,8.154683773882645
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2018,356128166704.921,2017.0,16922631843.820923,4.988902038626965
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2019,320909472770.6687,2018.0,-35218693934.25232,-9.889331209073855
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2020,300425609817.9812,2019.0,-20483862952.6875,-6.383065845901616
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2021,348516647445.14844,2020.0,48091037627.16724,16.00763585245084
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2022,374890295666.69366,2021.0,26373648221.545227,7.567399840116981
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2023,336686348609.2659,2022.0,-38203947057.427734,-10.190700452644947
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2024,371570000121.2658,2023.0,34883651511.99988,10.360874937784706
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2025,,,,
رشد اقتصادی,GDP (دلار جاری),NY.GDP.MKTP.CD,WB_WDI_NY_GDP_MKTP_CD,USD,2026,,,,
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2010,1.501718,,,
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2011,2.680117,2010.0,1.178399,78.47005895913878
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2012,3.027584,2011.0,0.34746699999999997,12.964620574400296
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2013,4.366865,2012.0,1.3392809999999997,44.235965046717105
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2014,4.116428,2013.0,-0.2504369999999998,-5.734937993274347
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2015,4.217942,2014.0,0.10151399999999988,2.466070097667198
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2016,6.573838,2015.0,2.3558960000000004,55.85415826011834
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2017,4.432626,2016.0,-2.1412120000000003,-32.57171837821377
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2018,6.151703,2017.0,1.7190770000000004,38.782360614227336
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2019,2.497637,2018.0,-3.6540660000000003,-59.39925903444948
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2020,-1.274087,2019.0,-3.771724,-151.01169625530048
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2021,6.513886,2020.0,7.787973,611.2591212374037
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2022,4.778107,2021.0,-1.735779,-26.64736533614497
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2023,-0.414936,2022.0,-5.193043,-108.68410858107616
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2024,3.048983,2023.0,3.463919,834.8080185859989
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2025,,,,
رشد اقتصادی,نرخ رشد GDP (%),NY.GDP.MKTP.KD.ZG,WB_WDI_NY_GDP_MKTP_KD_ZG,PC_A,2026,,,,
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2010,987.304571,,,
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2011,1131.735138,2010.0,144.430567,14.628775277897502
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2012,1204.364755,2011.0,72.62961700000005,6.417545462832493
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2013,1225.434012,2012.0,21.06925699999988,1.7494083011421135
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2014,1266.613408,2013.0,41.179396,3.360392774866118
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2015,1380.470208,2014.0,113.85680000000002,8.989072694231263
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2016,1424.691612,2015.0,44.22140400000012,3.203358083624802
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2017,1519.234595,2016.0,94.54298299999982,6.636031419268286
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2018,1569.338146,2017.0,50.10355100000015,3.29794695071436
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2019,1390.41691,2018.0,-178.92123600000014,-11.40106333718088
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2020,1278.397352,2019.0,-112.01955799999996,-8.056544565471372
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2021,1455.319224,2020.0,176.92187200000012,13.8393490664865
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2022,1538.322813,2021.0,83.00358899999992,5.703462692663497
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2023,1360.324178,2022.0,-177.99863499999992,-11.570954645915398
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2024,1478.77278,2023.0,118.44860199999994,8.707380484418614
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2025,,,,
رشد اقتصادی,GDP سرانه (دلار),NY.GDP.PCAP.CD,WB_WDI_NY_GDP_PCAP_CD,USD,2026,,,,
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2010,-0.975475,,,
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2011,0.408755,2010.0,1.38423,141.90317537609886
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2012,1.082272,2011.0,0.6735169999999999,164.7727856539981
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2013,2.682325,2012.0,1.6000530000000002,147.84203970905654
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2014,2.566004,2013.0,-0.11632100000000012,-4.336573681414449
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2015,2.766486,2014.0,0.20048200000000005,7.813004188613894
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2016,5.195069,2015.0,2.428583,87.78584095491537
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2017,2.966237,2016.0,-2.228832,-42.90283728666549
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2018,4.442019,2017.0,1.4757820000000001,49.752666425508146
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2019,0.778096,2018.0,-3.663923,-82.48328068835366
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2020,-3.038893,2019.0,-3.816989,-490.5550214883511
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2021,4.523046,2020.0,7.561939,248.8386066900019
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2022,2.962503,2021.0,-1.560543,-34.50203690168086
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2023,-1.945431,2022.0,-4.907934,-165.66849046228816
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2024,1.50504,2023.0,3.450471,177.3628054657297
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2025,,,,
رشد اقتصادی,رشد GDP سرانه (%),NY.GDP.PCAP.KD.ZG,WB_WDI_NY_GDP_PCAP_KD_ZG,PC_A,2026,,,,
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2010,79.834246,,,
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2011,80.539313,2010.0,0.7050670000000139,0.8831635987393354
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2012,82.302765,2011.0,1.7634519999999867,2.1895543111970506
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2013,81.293091,2012.0,-1.0096739999999897,-1.2267801695362115
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2014,82.144951,2013.0,0.8518600000000021,1.0478873290720387
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2015,81.139151,2014.0,-1.0058000000000078,-1.2244209628903517
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2016,80.683443,2015.0,-0.45570800000000133,-0.5616376242339549
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2017,81.942182,2016.0,1.2587390000000056,1.560095793135657
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2018,82.40054,2017.0,0.45835800000000404,0.5593675794476697
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2019,83.874452,2018.0,1.4739119999999986,1.788716433169004
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2020,81.514821,2019.0,-2.3596310000000074,-2.813289319613089
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2021,83.462961,2020.0,1.9481400000000093,2.3899212144500805
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2022,85.897745,2021.0,2.4347839999999934,2.9172029973870606
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2023,83.167351,2022.0,-2.730394000000004,-3.17865620337298
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2024,84.765185,2023.0,1.597834000000006,1.9212274778356304
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2025,,,,
رشد اقتصادی,مصرف خانوار (% GDP),NE.CON.PRVT.ZS,WB_WDI_NE_CON_PRVT_ZS,PT_GDP,2026,,,,
