url,extension,title_guess,source_count,source_pages,anchor_texts
https://www.pbs.gov.pk/wp-content/uploads/2020/07/Punjab-card.pdf,pdf,Punjab-card.pdf,35,"[""https://www.pbs.gov.pk/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer/""]",[]
https://www.pbs.gov.pk/wp-content/uploads/2020/07/Socio-Economic-Indicators-of-Sindh-at-District-Level.pdf,pdf,Socio Economic Indicators of Sindh at District Level [pdf],36,"[""https://www.pbs.gov.pk/"", ""https://www.pbs.gov.pk/social-statistics-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer/""]","[""Socio Economic Indicators of Sindh at District Level [pdf]""]"
https://www.pbs.gov.pk/wp-content/uploads/2020/07/Socio_Economic_Indicators_KP-1.pdf,pdf,Socio_Economic_Indicators_KP-1.pdf,35,"[""https://www.pbs.gov.pk/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer/""]",[]
https://www.pbs.gov.pk/wp-content/uploads/2020/07/IAC-Punjab-Report-25-05-2026-1.pdf,pdf,⬇ Download PDF,36,"[""https://www.pbs.gov.pk/"", ""https://www.pbs.gov.pk/agricultural-census-report-launch-2024-25/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer/""]","[""⬇ Download PDF""]"
https://www.pbs.gov.pk/wp-content/uploads/2020/07/District-Census-Report-2023-Islamabad-1.pdf,pdf,District-Census-Report-2023-Islamabad-1.pdf,35,"[""https://www.pbs.gov.pk/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer/""]",[]
https://www.pbs.gov.pk/wp-content/uploads/2020/07/HIES-2024-25-Report-Final-2.pdf,pdf,Household Integrated Economic Survey (HIES) 2024-25 Full Report (PDF) New,36,"[""https://www.pbs.gov.pk/"", ""https://www.pbs.gov.pk/hies/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer/""]","[""Household Integrated Economic Survey (HIES) 2024-25 Full Report (PDF) New""]"
https://www.pbs.gov.pk/wp-content/uploads/2020/07/NHA-Pakistan-2021-22.pdf,pdf,NHA-Pakistan-2021-22.pdf,35,"[""https://www.pbs.gov.pk/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer/""]",[]
https://www.pbs.gov.pk/wp-content/uploads/2020/07/PSLM_Report_2024-25-Social-2.pdf,pdf,PSLM_Report_2024-25-Social-2.pdf,35,"[""https://www.pbs.gov.pk/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer/""]",[]
https://www.pbs.gov.pk/wp-content/uploads/2020/07/National-Census-Report-2023-1.pdf,pdf,National-Census-Report-2023-1.pdf,35,"[""https://www.pbs.gov.pk/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer/""]",[]
https://www.pbs.gov.pk/wp-content/uploads/2020/07/final-flash-card-sindh.pdf,pdf,final-flash-card-sindh.pdf,35,"[""https://www.pbs.gov.pk/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-primary/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-8/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-6/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-4/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer7/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-2/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header9/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-5/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer-3/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/header-1/"", ""https://www.pbs.gov.pk/ova_framework_hf_el/footer/""]",[]
